key,value
"algoritma, pemrograman, program, platform, paradigma, kompleksitas, desain algoritma, struktur algoritma, analisis algoritma, dasar pemrograman, algoritma dan struktur data, struktur data, strategi algoritma, pemrograman beorientasi objek, pengembangan aplikasi berbasis web, pengembangan aplikasi, web, pengembangan aplikasi pada platform khusus",1
"matematika, diskrit, kalkulus, probabilitas, statistika, logika, automata, kombinatorik, graf, analisis, optimasi, matematika diskrit, logika informatika, probabilitas dan statistika, geometri dan ruang vektor, geometri, ruang vektor, teori bahasa formal dan automata, automata, algoritma genetika dan logika fuzzy, algoritma genetika, logika fuzzy, kriptografi, pemodelan dan simulasi, pemodelan, simulasi, desain kompilator, sistem temu balik informasi, temu balik",2
"sistem, sistem komputer, arsitektur, sistem operasi, jaringan, network, paralel, terdistribusi, memori, n-tier, peer to peer, cloud, awan, Routing, Switching, VPN, MQTT, CoAP, AMQP, HTTP, SSL, DTLS, HTTPS, Nginx, Mosquitto, Load Balancing, iot, internet of things, arsitektur dan organisasi komputer, organisasi komputer, jaringan komputer, sistem paralel dan terdistribusi, jaringan komputer lanjut, pengembangan aplikasi terdistribusi, sistem waktu nyata, sistem multimedia, keamanan dan penjaminan informasi, keamanan informasi, penjaminan informasi, keamanan dan penjaminan informasi, keamanan informasi, penjaminan informasi",3
"sistem, manajemen informasi, informasi, basis data, sistem informasi, penjaminan informasi, keamanan, security, model basis data, model informasi, data, manajemen basis data, manajemen, pemodelan data lanjut, pemodelan data, teknologi basis data, visualisasi data dan informasi, visualisasi data",4
"proyek, perangkat lunak, interaksi, desain, interaksi manusia, manajemen proyek, rpl, pengembangan perangkat lunak, metodologi, tools, project, management, rekayasa perangkat lunak, interaksi manusia komputer, manajemen proyek perangkat lunak, proyek perangkat lunak, rekayasa perangkat lunak spesifik domain, rplsd, pembangunan perangkat lunak berorientasi service, service, pembangunan perangkat lunak berbasis komponen, komponen, layanan, keamanan dan penjaminan informasi, keamanan informasi, penjaminan informasi",5
"grafika, visualisasi, grafik, Animation,  Rendering, Image manipulation, Graphics systems and interfaces, Image compression, Shape modeling, graphics, visualization, citra digital, citra, grafika komputer, pembangunan aplikasi berbasis grafik 3D, 3D, visualisasi data dan informasi, visualisasi, game dengan kecerdasan buatan, game",6
"Deep Learning, AI, Neural Networks, TensorFlow, inteligen, pembelajaran mesin, otomatis, intelligent system, problem solving agent, knowledge based agent, learning based agent, Artificial intelligence, Natural language processing, Machine translation, Discourse, dialogue and pragmatics, Natural language generation, Speech recognition, Lexical semantics, Phonology, morphology, Language resources, Knowledge representation and reasoning, Description logics, Semantic networks, Nonmonotonic, default reasoning and belief revision, Probabilistic reasoning, Vagueness and fuzzy logic, Causal reasoning and diagnostics, Temporal reasoning, Cognitive robotics, Ontology engineering, Logic programming and answer set programming, Spatial and physical reasoning, Reasoning about belief and knowledge, Planning and scheduling, Planning for deterministic actions, Planning under uncertainty, Multi-agent planning, Planning with abstraction and generalization, Robotic planning, machine learning, Learning paradigms, Supervised learning, Ranking, Learning to rank, Supervised learning by classification, Supervised learning by regression, Structured outputs, Cost-sensitive learning, Unsupervised learning, Cluster analysis, Anomaly detection, Mixture modeling, Topic modeling, Source separation, Motif discovery, Dimensionality reduction and manifold learning, Reinforcement learning, Sequential decision making, Inverse reinforcement learning, Apprenticeship learning, Multi-agent reinforcement learning, Adversarial learning, Multi-task learning, Transfer learning, logika informatika, logika, probabilitas dan statistika, probabilitas, statistika, teori bahasa formal dan automata, automata, kecerdasan buatan, representasi pengetahuan dan penalaran, penalaran, pengetahuan, pembelajaran mesin, pemrosesan bahasa alami, bahasa alami, mesin, pemrosean suara, suara, interpretasi dan pengolahan citra, pengantar robotika, robotika",7
"isu, tanggung jawab, profesi, etis, legal, keamanan, social, kemampuan komunikasi, kerja sama, efektif, tim, socio-informatika dan profesionalisme, sosial, profesional, keprofesian, komunitas",8
"sistem informasi enterprise, manajemen bisnis proses, arsitektur enterprise, manajemen data enterprise, service-oriented architecture, aturan bisnis, model enterprise, ontologi, taksonomi, kosakata enterprise, manajemen data enterprise, model referensi, penjajaran bisnis dengan IT, arsitektur IT, tata pamong IT, infrastruktur komputasi enterprise, interoperabilitas enterprise, sistem informasi perusahaan, arsitektur perusahaan, manajemen data perusahaan, model perusahaan, kosakata perusahaan, manajemen data perusahaan,  infrastruktur komputasi perusahaan, interoperabilitas perusahaan, perusahaan, enterprise",9
"rangkaian, hardware, PCB, printed circuit boards, communication hardware, interfaces and storage, Integrated circuits, Very large scale integration design, Power and energy, Electronic design automation,  Hardware validation, Hardware test, Robustness, Emerging technologies, perangkat keras, Raspberry Pi, Arduino, GPIO, USB, I2C, LEDs, FPGA, ASICs, SoC, Bluetooth, LoRaWAN, Mircocontrollers, ARM Cortex",10
